Station ID,Company Name,Location,Industry Domain,Preferred Branches,Stipend (UG),Stipend (PG),Have Accommodation?
4860,SequelOne Solutions Pvt Ltd,Gurgaon,IT,Any,25000,0,No
3790,ShortHills Tech Pvt. Ltd,Gurgaon,IT,A7,30000,0,No
4237,SmartHelio Sarl.,NOIDA,IT,"A3 , A7 , AA",20000,0,No
3332,Sun Mobility,Bangalore,IT,"A3 , A8 , AA",20000,0,No
4873,Symphony Concerto India Pvt. Ltd.,Bangalore,IT,A7,40000,0,No
3950,Synchrony,Hyderabad,IT,"A3 , A7 , A8 , AA",35000,0,No
4822,Takshila Learning Pvt. Ltd.,Delhi,IT,A7,20000,0,No
3954,Tata Digital Health,Bangalore,IT,"A1 , A2 , A3 , A4 , A5 , A7 , A8 , AA , AB",45000,0,No
3861,"Techture Structures (IT), Nagpur",Nagpur,IT,Unavailable,Unavailable,Unavailable,No
4879,TNSTC,Chennai,IT,Any,0,0,No
4818,Trell Experiences Pvt Ltd,Bangalore,IT,"A3 , A7 , A8",50000,0,No
4820,Trifacta Inc,Bangalore,IT,A7,60000,0,No
1196,UPGRAD,Mumbai,IT,"A1 , A2 , A3 , A4 , A7 , A8 , AA , B1 , B2 , B3 , B4 , B5 , AnyA3 , AnyA4 , AnyA7 , AnyA8 , AnyAA",25000,0,No
3323,UST Global,Trivandrum,IT,Unavailable,Unavailable,Unavailable,No
659,VMware Software India Pvt. Ltd.,Bangalore,IT,"A7 , A7B1 , A7B2 , A7B4 , A7B5",50000,50000,No
3530,Western Digital (SANDISK),Bangalore,IT,"A3 , A8 , AA",35000,0,No
4888,Yulu Bike,Bangalore,IT,"A7 , B4A7",40000,0,No
1558,Zeotap India Pvt. Ltd.,Bangalore,IT,A7,65000,0,No
3287,Zinnov Management Consulting Pvt. Ltd (IT Project),Bangalore,IT,"A1 , A3 , A4 , A7 , A8 , AA",30000,0,No
4867,Zomentum (Pactora India Pvt Ltd),Bangalore,IT,A7,40000,0,No
4909,Kubric,Bangalore,,A7,30000,0,No
4908,Lemnisk Pvt. Ltd.,Bangalore,,A7,50000,0,No
4118,Adani Power,Ahmedabad,Mechanical,"A3 , A4 , A7 , A8 , AA",0,0,No
678,"Aditya Birla Insulators, Halol",Halol,Mechanical,Unavailable,Unavailable,Unavailable,No
3831,ASA Industries,Noida,Mechanical,"A4 , AB",20000,0,No
212,"Bharat Forge Ltd, Pune",Pune,Mechanical,Unavailable,Unavailable,Unavailable,No
2897,"Divgi TorqTransfer Systems Pvt. Ltd, Shivare, Pune",Pune,Mechanical,Unavailable,Unavailable,Unavailable,No
215,Divgi TorqTransfer Systems Pvt. Ltd.,Pune,Mechanical,Unavailable,Unavailable,Unavailable,No
461,"IFB Industries, Goa",Goa,Mechanical,Unavailable,Unavailable,Unavailable,No
436,"John F Welch Technology Center (GE), Bangalore",Bangalore,Mechanical,Unavailable,Unavailable,Unavailable,No
3895,Maritime Research Centre,Pune,Mechanical,"A3 , A4 , A7 , AA",0,0,No
538,NBC Bearings,Jaipur,Mechanical,A4,4000,0,No
149,"Tega Industries, Kolkata",Kolkata,Mechanical,Unavailable,Unavailable,Unavailable,No
3350,"Texmaco Rail & Engineering Ltd., Kolkata",Kolkata,Mechanical,Unavailable,Unavailable,Unavailable,No
4107,Time Tooth,Noida,Mechanical,"A3 , H140",15000,15000,No
4913,MedCords - Nontech,Kota,,Any,15000,0,No
4912,MedCords,Kota,,A7,20000,0,No
4875,Filmboard Movies Pvt. Ltd.,Mumbai,Others,Any,15000,0,No
4871,Give Foundation,Bangalore,Others,Any,12000,0,No
4255,Kerala Infrastructure and Technogy for Education,Trivandrum,Others,A7,25000,0,No
529,My smart price - Tech,Hyderabad,Others,Any,22000,0,No
535,National Institute of Science and Tech. Dev. Studies (NISTADS),New delhi,Others,Any,0,0,No
4229,Pilani AtmaNirbhar Resource Center (PARC),Pilani,Others,Any,15000,0,No
1446,VCTIP Pvt. Ltd. (Market Data Forecast) Research Associate,Hyderabad,Others,"A5 , Any",15000,0,No
4903,ReferralYogi Technologies Pvt. Ltd.,Chennai,,Any,25000,0,No
4906,Samyojya,Bangalore,,"A3 , A7 , Any",20000,0,No
4911,Weir Minerals India Pvt Ltd,Bangalore,,AB,20000,0,No
4914,Zaggle Prepaid Ocean Services Pvt. Ltd,Hyderabad,,"A7 , AA",30000,0,No
